node_id,pt_root_id,nucleus_id,cell_type,x,y,z
0,864691135686494647,517898,23P,1185856.0,444800.0,670800.0
1,864691136812081779,581967,23P,1329472.0,475264.0,700720.0
2,864691135479404742,269247,5P-NP,710144.0,855296.0,795760.0
3,864691135975539779,582056,23P,1330240.0,480128.0,747120.0
4,864691136210344892,588839,5P-IT,1328064.0,762624.0,771560.0
5,864691135975633475,559081,5P-IT,1288960.0,704512.0,911680.0
6,864691135497743635,583848,4P,1329920.0,547072.0,785520.0
7,864691136108938168,553325,23P,1303552.0,508864.0,781040.0
8,864691136023889209,262773,4P,672384.0,647808.0,860120.0
9,864691136309871706,516758,23P,1241984.0,442560.0,763240.0
10,864691136903144370,236197,6P-IT,609664.0,904512.0,772400.0
11,864691135572530981,588983,5P-ET,1365120.0,763456.0,812600.0
12,864691135857099310,460391,4P,1113408.0,676992.0,1009320.0
13,864691135915343462,585723,4P,1329344.0,626112.0,800640.0
14,864691135816565839,259167,23P,706752.0,536896.0,1032200.0
15,864691135384285931,330329,4P,832256.0,589120.0,822080.0
16,864691135700409211,557030,4P,1267840.0,625088.0,983200.0
17,864691135749141801,518898,23P,1183488.0,492800.0,936640.0
18,864691136990522517,327859,23P,826304.0,532672.0,745800.0
19,864691136137834877,518853,23P,1202304.0,462464.0,923200.0
20,864691135772053835,517056,23P,1216320.0,407936.0,874120.0
21,864691135701624699,582129,23P,1311616.0,473664.0,757880.0
22,864691136391623039,493419,5P-IT,1166720.0,679104.0,891000.0
23,864691135593659947,557121,4P,1283392.0,621504.0,1020280.0
24,864691135361314119,292709,23P,725760.0,491456.0,853080.0
25,864691135361291591,368160,5P-IT,881728.0,754688.0,916000.0
26,864691136023980601,493806,5P-IT,1170240.0,669504.0,970680.0
27,864691135496333968,553584,23P,1306752.0,499456.0,885080.0
28,864691135753932237,225498,4P,598848.0,606592.0,701960.0
29,864691135387690069,582010,23P,1374272.0,497600.0,700960.0
30,864691135848030814,554921,23P,1297280.0,522880.0,829520.0
31,864691135566945559,188180,23P,541760.0,509120.0,684480.0
32,864691135619317391,362903,4P,858432.0,584832.0,753760.0
33,864691134884807418,518848,23P,1196352.0,492736.0,919560.0
34,864691135440543560,489675,4P,1162368.0,541632.0,1078000.0
35,864691136066631832,554741,4P,1303296.0,548416.0,775240.0
36,864691136107283417,363525,4P,892928.0,618752.0,870480.0
37,864691135233242713,525498,5P-ET,1194624.0,665856.0,984680.0
38,864691135807579933,520364,4P,1214144.0,572736.0,879440.0
39,864691135479833030,330148,4P,844480.0,583232.0,756640.0
40,864691135503443549,394177,4P,925632.0,635584.0,725080.0
